image_name,vuln_id,severity,count,related_vuln,r_count
elasticsearch:6.8.11,GHSA-hr8g-6v94-x4m9,Medium,2,CVE-2023-33201,0
elasticsearch:6.8.11,GHSA-6xx3-rg99-gc3p,Medium,2,CVE-2020-15522,0
elasticsearch:6.8.11,GHSA-mvr2-9pj6-7w5j,Medium,2,CVE-2018-10237,0
elasticsearch:6.8.11,GHSA-7g45-4rm6-3mm3,Medium,2,CVE-2023-2976,0
elasticsearch:6.8.11,GHSA-5mg8-w23w-74h3,Low,2,CVE-2020-8908,0
elasticsearch:6.8.11,GHSA-7r82-7xv7-xcpj,Medium,2,CVE-2020-13956,0
elasticsearch:6.8.11,GHSA-mx7p-6679-8g3q,Critical,1,CVE-2019-16942,0
elasticsearch:6.8.11,GHSA-wh8g-3j2c-rqj5,High,1,CVE-2020-35490,0
elasticsearch:6.8.11,GHSA-vfqx-33qm-g869,High,1,CVE-2020-36189,0
elasticsearch:6.8.11,GHSA-v585-23hc-c647,High,1,CVE-2020-36186,0
elasticsearch:6.8.11,GHSA-rpr3-cw39-3pxh,High,1,CVE-2020-10650,0
elasticsearch:6.8.11,GHSA-rgv9-q543-rqg4,High,1,CVE-2022-42004,0
elasticsearch:6.8.11,GHSA-r695-7vr9-jgc2,High,1,CVE-2020-36187,0
elasticsearch:6.8.11,GHSA-r3gr-cxrf-hg25,High,1,CVE-2020-35491,0
elasticsearch:6.8.11,GHSA-qjw2-hr98-qgfh,High,1,CVE-2020-24750,0
elasticsearch:6.8.11,GHSA-m6x4-97wx-4q27,High,1,CVE-2020-36184,0
elasticsearch:6.8.11,GHSA-jjjh-jjxp-wpff,High,1,CVE-2022-42003,0
elasticsearch:6.8.11,GHSA-h3cw-g4mq-c5x2,High,1,CVE-2020-24616,0
elasticsearch:6.8.11,GHSA-gwp4-hfv6-p7hw,High,1,CVE-2019-14439,0
elasticsearch:6.8.11,GHSA-fqwf-pjwf-7vqv,High,1,CVE-2020-10673,0
elasticsearch:6.8.11,GHSA-f9xh-2qgp-cq57,High,1,CVE-2020-36188,0
elasticsearch:6.8.11,GHSA-cvm9-fjm9-3572,High,1,CVE-2020-36181,0
elasticsearch:6.8.11,GHSA-9m6f-7xcq-8vf8,High,1,CVE-2020-36183,0
elasticsearch:6.8.11,GHSA-9gph-22xh-8x98,High,1,CVE-2020-36179,0
elasticsearch:6.8.11,GHSA-8w26-6f25-cm9x,High,1,CVE-2020-36185,0
elasticsearch:6.8.11,GHSA-8c4j-34r4-xr8g,High,1,CVE-2020-36180,0
elasticsearch:6.8.11,GHSA-89qr-369f-5m5x,High,1,CVE-2020-36182,0
elasticsearch:6.8.11,GHSA-5ww9-j83m-q7qx,High,1,CVE-2019-12086,0
elasticsearch:6.8.11,GHSA-5949-rw7g-wx7w,High,1,CVE-2021-20190,0
elasticsearch:6.8.11,GHSA-57j2-w4cx-62h2,High,1,CVE-2020-36518,0
elasticsearch:6.8.11,GHSA-288c-cq4h-88gq,High,1,CVE-2020-25649,0
elasticsearch:6.8.11,GHSA-mph4-vhrx-mv67,Medium,1,CVE-2019-12384,0
elasticsearch:6.8.11,GHSA-cmfg-87vq-g5g4,Medium,1,CVE-2019-12814,0
elasticsearch:6.8.11,GHSA-xmc8-26q4-qjhx,High,1,CVE-2020-28491,0
elasticsearch:6.8.11,GHSA-jfh8-c2jp-5v3q,Critical,2,CVE-2021-44228,0
elasticsearch:6.8.11,GHSA-7rjr-3q55-vv33,Critical,2,CVE-2021-45046,0
elasticsearch:6.8.11,GHSA-p6xc-xr62-6r2g,High,2,CVE-2021-45105,0
elasticsearch:6.8.11,GHSA-8489-44mv-ggj8,Medium,2,CVE-2021-44832,0
elasticsearch:6.8.11,GHSA-vwqq-5vrc-xw9h,Low,2,CVE-2020-9488,0
elasticsearch:6.8.11,GHSA-grg4-wf29-r9vv,High,2,CVE-2021-37136,0
elasticsearch:6.8.11,GHSA-9vjp-v76f-g363,High,2,CVE-2021-37137,0
elasticsearch:6.8.11,GHSA-cqqj-4p63-rrmm,Critical,2,CVE-2019-20444,0
elasticsearch:6.8.11,GHSA-wx5j-54mm-rqqq,Medium,2,CVE-2021-43797,0
elasticsearch:6.8.11,GHSA-5mcr-gq6c-3hq2,Medium,2,CVE-2021-21290,0
elasticsearch:6.8.11,GHSA-269q-hmxg-m83q,Medium,2,CVE-2022-24823,0
elasticsearch:6.8.11,GHSA-mm9x-g8pc-w292,High,2,CVE-2020-11612,0
elasticsearch:6.8.11,GHSA-p2v9-g2qv-p635,Medium,2,CVE-2019-20445,0
elasticsearch:6.8.11,GHSA-6mjq-h674-j845,Medium,2,CVE-2023-34462,0
elasticsearch:6.8.11,GHSA-rvwf-54qp-4r6v,High,1,CVE-2017-18640,0
elasticsearch:6.8.11,GHSA-mjmj-j48q-9wg2,High,1,CVE-2022-1471,0
elasticsearch:6.8.11,GHSA-3mc7-4q67-w48m,High,1,CVE-2022-25857,0
elasticsearch:6.8.11,GHSA-w37g-rhq8-7m4j,Medium,1,CVE-2022-41854,0
elasticsearch:6.8.11,GHSA-hhhw-99gj-p3c3,Medium,1,CVE-2022-38750,0
elasticsearch:6.8.11,GHSA-c4r9-r8fh-9vj2,Medium,1,CVE-2022-38749,0
elasticsearch:6.8.11,GHSA-9w3m-gqgf-c4p9,Medium,1,CVE-2022-38752,0
elasticsearch:6.8.11,GHSA-98wm-3w3q-mw94,Medium,1,CVE-2022-38751,0
elasticsearch:6.8.11,GHSA-j8wc-gxx9-82hx,High,1,CVE-2021-40690,0
elasticsearch:6.8.11,GHSA-xfrj-6vvc-3xm2,Medium,1,CVE-2023-44483,0
elasticsearch:6.8.11,GHSA-4q98-wr72-h35w,Medium,1,CVE-2019-12400,0
gradle:7.3.3-jdk17-alpine,GHSA-c28r-hw5m-5gv3,High,1,CVE-2022-31159,0
gradle:7.3.3-jdk17-alpine,GHSA-hr8g-6v94-x4m9,Medium,1,CVE-2023-33201,0
gradle:7.3.3-jdk17-alpine,GHSA-gwrp-pvrq-jmwv,Medium,1,CVE-2021-29425,0
gradle:7.3.3-jdk17-alpine,GHSA-gwc9-m7rh-j2ww,High,1,CVE-2021-43565,0
gradle:7.3.3-jdk17-alpine,GHSA-8c26-wmh5-6g9v,High,1,CVE-2022-27191,0
gradle:7.3.3-jdk17-alpine,GHSA-3vm4-22fp-5rfm,High,1,CVE-2020-29652,0
gradle:7.3.3-jdk17-alpine,GHSA-vvpx-j8f3-3w6h,High,1,CVE-2022-41723,1
gradle:7.3.3-jdk17-alpine,GHSA-83g2-8m93-v3w7,High,1,CVE-2021-33194,0
gradle:7.3.3-jdk17-alpine,GHSA-69cg-p879-7622,High,1,CVE-2022-27664,1
gradle:7.3.3-jdk17-alpine,GHSA-4374-p667-p6c8,High,1,CVE-2023-39325,0
gradle:7.3.3-jdk17-alpine,GHSA-qppj-fm5r-hxr3,Medium,1,CVE-2023-44487,2
gradle:7.3.3-jdk17-alpine,GHSA-h86h-8ppg-mxmh,Medium,1,CVE-2021-31525,0
gradle:7.3.3-jdk17-alpine,GHSA-2wrh-6pvc-2jm9,Medium,1,CVE-2023-3978,0
gradle:7.3.3-jdk17-alpine,GHSA-p782-xgp4-8hr8,Medium,1,CVE-2022-29526,1
gradle:7.3.3-jdk17-alpine,GHSA-ppp9-7jff-5vj2,High,1,CVE-2021-38561,0
gradle:7.3.3-jdk17-alpine,GHSA-69ch-w2m2-3vjp,High,1,CVE-2022-32149,0
gradle:7.3.3-jdk17-alpine,GHSA-4jrv-ppp4-jm57,High,1,CVE-2022-25647,0
gradle:7.3.3-jdk17-alpine,GHSA-7g45-4rm6-3mm3,Medium,1,CVE-2023-2976,0
gradle:7.3.3-jdk17-alpine,GHSA-5mg8-w23w-74h3,Low,1,CVE-2020-8908,0
gradle:7.3.3-jdk17-alpine,GHSA-rgv9-q543-rqg4,High,1,CVE-2022-42004,0
gradle:7.3.3-jdk17-alpine,GHSA-jjjh-jjxp-wpff,High,1,CVE-2022-42003,0
gradle:7.3.3-jdk17-alpine,GHSA-57j2-w4cx-62h2,High,1,CVE-2020-36518,0
gradle:7.3.3-jdk17-alpine,GHSA-3x8x-79m2-3w2w,High,1,CVE-2021-46877,0
gradle:7.3.3-jdk17-alpine,GHSA-3p86-9955-h393,High,1,CVE-2023-4759,0
gradle:7.3.3-jdk17-alpine,GHSA-mjmj-j48q-9wg2,High,1,CVE-2022-1471,0
gradle:7.3.3-jdk17-alpine,GHSA-3mc7-4q67-w48m,High,1,CVE-2022-25857,0
gradle:7.3.3-jdk17-alpine,GHSA-w37g-rhq8-7m4j,Medium,1,CVE-2022-41854,0
gradle:7.3.3-jdk17-alpine,GHSA-hhhw-99gj-p3c3,Medium,1,CVE-2022-38750,0
gradle:7.3.3-jdk17-alpine,GHSA-c4r9-r8fh-9vj2,Medium,1,CVE-2022-38749,0
gradle:7.3.3-jdk17-alpine,GHSA-9w3m-gqgf-c4p9,Medium,1,CVE-2022-38752,0
gradle:7.3.3-jdk17-alpine,GHSA-98wm-3w3q-mw94,Medium,1,CVE-2022-38751,0
jetty:9.2.10,GHSA-hmr7-m48g-48f6,Medium,1,CVE-2023-40167,0
jetty:9.2.10,GHSA-cj7v-27pg-wf7q,Low,1,CVE-2022-2047,0
jetty:9.2.10,GHSA-vgg8-72f2-qm23,Critical,1,CVE-2017-7657,0
jetty:9.2.10,GHSA-6x9x-8qw9-9pp6,Critical,1,CVE-2017-7658,0
jetty:9.2.10,GHSA-wfcc-pff6-rgc5,High,1,CVE-2017-9735,0
jetty:9.2.10,GHSA-84q7-p226-4x5w,High,1,CVE-2017-7656,0
jetty:9.2.10,GHSA-26vr-8j45-3r4w,High,1,CVE-2021-28165,0
jetty:9.2.10,GHSA-xc67-hjx6-cgg6,Medium,1,CVE-2019-10247,0
jetty:9.2.10,GHSA-r28m-g6j9-r2h5,Medium,1,CVE-2019-10246,0
jetty:9.2.10,GHSA-qw69-rqj8-6qw8,Medium,1,CVE-2023-26048,0
jetty:9.2.10,GHSA-9rgv-h7x4-qw8g,Medium,1,CVE-2018-12536,0
jetty:9.2.10,GHSA-7vx9-xjhr-rw6h,Medium,1,CVE-2019-10241,0
jetty:9.2.10,GHSA-p26g-97m4-6q7c,Low,1,CVE-2023-26049,0
jetty:9.2.10,GHSA-m6cp-vxjx-65j6,Low,1,CVE-2021-34428,0
jetty:9.2.10,GHSA-gwcr-j4wh-j3cq,Medium,1,CVE-2021-28169,0
jetty:9.2.10,GHSA-3gh6-v5v9-6v9j,Low,1,CVE-2023-36479,0
jetty:9.2.10,GHSA-g3wg-6mcf-8jj6,High,1,CVE-2020-27216,0
jetty:9.2.10,GHSA-6x4w-8w53-xrvv,High,1,CVE-2015-0254,0
neo4j:3.4.13,GHSA-hr8g-6v94-x4m9,Medium,1,CVE-2023-33201,0
neo4j:3.4.13,GHSA-6xx3-rg99-gc3p,Medium,1,CVE-2020-15522,0
neo4j:3.4.13,GHSA-xqfj-vm6h-2x34,High,1,CVE-2021-35517,0
neo4j:3.4.13,GHSA-mc84-pj99-q6hh,High,1,CVE-2021-36090,0
neo4j:3.4.13,GHSA-crv7-7245-f45f,High,1,CVE-2021-35516,0
neo4j:3.4.13,GHSA-7hfm-57qf-j43q,High,1,CVE-2021-35515,0
neo4j:3.4.13,GHSA-53x6-4x5p-rrvv,High,1,CVE-2019-12402,0
neo4j:3.4.13,GHSA-gwrp-pvrq-jmwv,Medium,1,CVE-2021-29425,0
neo4j:3.4.13,GHSA-hmr7-m48g-48f6,Medium,1,CVE-2023-40167,0
neo4j:3.4.13,GHSA-cj7v-27pg-wf7q,Low,1,CVE-2022-2047,0
neo4j:3.4.13,GHSA-h2f4-v4c4-6wx4,High,1,CVE-2018-12545,0
neo4j:3.4.13,GHSA-26vr-8j45-3r4w,High,1,CVE-2021-28165,0
neo4j:3.4.13,GHSA-xc67-hjx6-cgg6,Medium,1,CVE-2019-10247,0
neo4j:3.4.13,GHSA-r28m-g6j9-r2h5,Medium,1,CVE-2019-10246,0
neo4j:3.4.13,GHSA-qw69-rqj8-6qw8,Medium,1,CVE-2023-26048,0
neo4j:3.4.13,GHSA-m394-8rww-3jr7,Medium,1,CVE-2020-27223,0
neo4j:3.4.13,GHSA-86wm-rrjm-8wh8,Medium,1,CVE-2020-27218,0
neo4j:3.4.13,GHSA-7vx9-xjhr-rw6h,Medium,1,CVE-2019-10241,0
