image_name,vuln_id,severity,count,related_vuln,r_count
postgres:16.1-bullseye,GHSA-xr7r-f8xq-vfvv,High,1,CVE-2024-21626,0
postgres:16.1-bullseye,GHSA-vpvm-3wq2-2wvm,High,1,CVE-2023-27561,0
postgres:16.1-bullseye,GHSA-g2j6-57v7-gm8c,Medium,1,CVE-2023-28642,0
postgres:16.1-bullseye,GHSA-f3fp-gc8g-vw66,Medium,1,CVE-2022-29162,0
postgres:16.1-bullseye,GHSA-m8cg-xc2p-r3fc,Low,1,CVE-2023-25809,0
odoo:17,GHSA-rc47-6667-2j5j,High,1,CVE-2022-25881,0
kibana:8.12.1,GHSA-4gmj-3p3h-gm8h,Low,1,CVE-2024-27088,0
kibana:8.12.1,GHSA-jchw-25xp-jwwc,Medium,1,CVE-2023-26159,0
kibana:8.12.1,GHSA-78xj-cgh5-2h22,Medium,2,CVE-2023-42282,0
kibana:8.12.1,GHSA-3787-6prv-h9w3,Low,1,CVE-2024-24758,0
jenkins:2.60.3,GHSA-3295-h9qx-r82x,Medium,1,CVE-2010-3700,0
jenkins:2.60.3,GHSA-f62v-xpxf-3v68,High,2,CVE-2020-11979,0
jenkins:2.60.3,GHSA-q5r4-cfpx-h6fh,Medium,2,CVE-2021-36373,0
jenkins:2.60.3,GHSA-5v34-g2px-j4fw,Medium,2,CVE-2021-36374,0
jenkins:2.60.3,GHSA-4p6w-m9wc-c9c9,Medium,2,CVE-2020-1945,0
jenkins:2.60.3,GHSA-hr8g-6v94-x4m9,Medium,1,CVE-2023-33201,0
jenkins:2.60.3,GHSA-6xx3-rg99-gc3p,Medium,1,CVE-2020-15522,0
jenkins:2.60.3,GHSA-p66x-2cv9-qq3v,High,1,CVE-2014-0114,0
jenkins:2.60.3,GHSA-6phf-73q6-gh87,High,1,CVE-2019-10086,0
jenkins:2.60.3,GHSA-xqfj-vm6h-2x34,High,1,CVE-2021-35517,0
jenkins:2.60.3,GHSA-mc84-pj99-q6hh,High,1,CVE-2021-36090,0
jenkins:2.60.3,GHSA-crv7-7245-f45f,High,1,CVE-2021-35516,0
jenkins:2.60.3,GHSA-7hfm-57qf-j43q,High,1,CVE-2021-35515,0
jenkins:2.60.3,GHSA-hrmr-f5m6-m9pq,Medium,1,CVE-2018-11771,0
jenkins:2.60.3,GHSA-7x9j-7223-rg5m,Critical,1,CVE-2016-1000031,0
jenkins:2.60.3,GHSA-hfrx-6qgj-fp6c,High,1,CVE-2023-24998,0
jenkins:2.60.3,GHSA-fvm3-cfvj-gxqq,High,1,CVE-2016-3092,0
jenkins:2.60.3,GHSA-gwrp-pvrq-jmwv,Medium,2,CVE-2021-29425,0
jenkins:2.60.3,GHSA-cgp8-4m63-fhh5,Medium,1,CVE-2021-37533,0
jenkins:2.60.3,GHSA-xm94-9jw8-p6hw,Medium,1,CVE-2019-10320,0
jenkins:2.60.3,GHSA-rvg5-f5fj-mxvg,Medium,1,CVE-2022-29036,0
jenkins:2.60.3,GHSA-gqm2-2gcx-p88w,Medium,1,CVE-2022-20616,0
jenkins:2.60.3,GHSA-gchq-9r68-6jwv,Medium,1,CVE-2021-21648,0
jenkins:2.60.3,GHSA-cwcf-5m5w-mq2w,Medium,2,CVE-2018-1000601,0
jenkins:2.60.3,GHSA-g9hg-x9c9-7xgr,High,1,CVE-2020-2324,0
jenkins:2.60.3,GHSA-ghq2-m3pq-qf3p,Medium,1,CVE-2022-29037,0
jenkins:2.60.3,GHSA-63mw-hp3h-gc77,Medium,1,CVE-2020-2184,0
jenkins:2.60.3,GHSA-g4c3-4f3v-84x8,Medium,1,CVE-2023-37942,0
jenkins:2.60.3,GHSA-6x63-hrxg-2hjx,Medium,1,CVE-2022-36886,0
jenkins:2.60.3,GHSA-mvr2-9pj6-7w5j,Medium,3,CVE-2018-10237,0
jenkins:2.60.3,GHSA-7g45-4rm6-3mm3,Medium,3,CVE-2023-2976,0
jenkins:2.60.3,GHSA-5mg8-w23w-74h3,Low,3,CVE-2020-8908,0
jenkins:2.60.3,GHSA-7r82-7xv7-xcpj,Medium,1,CVE-2020-13956,0
jenkins:2.60.3,GHSA-pgj6-jmj5-wqfx,Critical,1,CVE-2021-21694,0
jenkins:2.60.3,GHSA-m9hr-259f-2v23,Critical,1,CVE-2021-21688,0
jenkins:2.60.3,GHSA-j3cq-h6vh-gx7f,Critical,1,CVE-2021-21689,0
jenkins:2.60.3,GHSA-hhpm-5cp2-hg4x,Critical,1,CVE-2018-1000861,0
jenkins:2.60.3,GHSA-cvvm-4cr9-r436,Critical,1,CVE-2021-21695,0
jenkins:2.60.3,GHSA-cv2w-q8c3-xjv7,Critical,1,CVE-2021-21697,0
jenkins:2.60.3,GHSA-97c3-w9cr-6qc2,Critical,1,CVE-2021-21690,0
jenkins:2.60.3,GHSA-929w-q433-4h9x,Critical,1,CVE-2021-21693,0
jenkins:2.60.3,GHSA-8xg4-xq2v-v6j7,Critical,1,CVE-2021-21692,0
jenkins:2.60.3,GHSA-6f9g-cxwr-q5jr,Critical,1,CVE-2024-23897,0
jenkins:2.60.3,GHSA-58xm-mxjf-254g,Critical,1,CVE-2021-21685,0
jenkins:2.60.3,GHSA-4g38-hrm4-rg94,Critical,1,CVE-2021-21686,0
jenkins:2.60.3,GHSA-3q84-vrvx-rfvf,Critical,1,CVE-2021-21687,0
jenkins:2.60.3,GHSA-2c79-h2h5-g3fw,Critical,1,CVE-2021-21691,0
jenkins:2.60.3,GHSA-x646-m7x2-gcp7,High,1,CVE-2018-1000194,0
jenkins:2.60.3,GHSA-wfj3-535m-p6fx,High,1,CVE-2017-1000391,0
jenkins:2.60.3,GHSA-vcr8-h8qp-qj8h,High,1,CVE-2019-10384,0
jenkins:2.60.3,GHSA-qv6f-rcv6-6q3x,High,1,CVE-2021-21604,0
jenkins:2.60.3,GHSA-qp4f-2w67-c8hw,High,1,CVE-2020-2099,0
jenkins:2.60.3,GHSA-qgj4-rc8m-44mq,High,1,CVE-2020-2220,0
jenkins:2.60.3,GHSA-qf38-f2fr-q4x9,High,1,CVE-2018-1999002,0
jenkins:2.60.3,GHSA-pxgq-gqr9-5gwx,High,1,CVE-2021-21605,0
jenkins:2.60.3,GHSA-j8qv-mj4r-6fw4,High,1,CVE-2018-1999001,0
jenkins:2.60.3,GHSA-j664-qhh4-hpf8,High,1,CVE-2023-27898,0
jenkins:2.60.3,GHSA-j472-mcq2-95p6,High,1,CVE-2017-1000393,0
